#NAME?,,,,,,,,,,,,,,,,,,
Dataset: Aquaculture production,,,,,,,,,,,,,,,,,,
Species,,,,TOTAL SPECIES,,,,,,,,,,,,,,
Measure,,,,US Dollar,,,,,,,,,,,,,,
Year,,,,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Korea,,US Dollar,,"1,457,356,340","1,688,250,060","1,909,398,870","1,598,344,450","1,612,699,200","1,808,193,860","1,897,891,250","1,804,304,210","1,865,182,290","2,155,029,030","2,159,462,150","2,303,265,390","2,925,685,590","3,135,160,360","2,791,832,090"
Latvia,,US Dollar,i,"956,490","1,373,470","2,198,910","2,226,780","1,564,600","1,393,940","1,545,730","1,822,490","2,134,050","2,457,120","2,640,870","2,307,730","2,531,530","2,357,030","1,856,370"
Lithuania,,US Dollar,,"5,221,810","5,878,420","9,668,290","9,776,110","9,235,800","8,058,800","10,079,770","9,848,370","12,627,410","11,869,440","11,746,810","13,559,120","13,750,400","14,734,210","15,075,740"
Mexico,,US Dollar,i,"433,686,680","530,124,150","505,739,860","559,112,040","477,567,460","375,130,210","444,136,460","484,707,500","520,029,550","667,388,960","674,370,230","755,512,370","847,428,630","811,567,440","1,047,661,240"
Netherlands,,US Dollar,,"124,112,370","126,821,130","155,390,160","144,016,850","118,479,730","142,319,790","107,543,810","119,662,900","146,193,330","130,482,710","117,619,460","118,200,650","118,164,650","125,954,700","101,807,250"
New Zealand,,US Dollar,i,"210,166,230","225,518,290","422,668,050","379,502,990","124,296,340","331,790,430","278,443,860","372,557,360","391,305,270","545,618,660","666,545,720","805,882,470","825,222,580","815,051,120","848,666,780"
Norway,,US Dollar,i,"2,136,348,580","2,749,410,070","2,999,195,820","3,138,993,930","3,590,060,290","5,080,909,800","5,157,222,050","5,163,823,000","6,890,555,580","7,035,711,630","5,811,465,880","7,623,796,920","7,856,984,220","8,342,458,980","8,152,186,680"
Poland,,US Dollar,,"90,878,260","93,833,990","104,967,050","107,784,400","106,520,950","89,510,240","85,659,500","104,502,090","111,833,340","127,690,230","111,078,720","119,316,940","123,337,510","141,857,230","163,508,990"
Portugal,,US Dollar,i,"42,918,020","54,307,120","54,631,820","59,083,480","47,517,580","63,348,890","81,136,350","68,919,270","72,816,570","68,947,100","59,794,820","66,981,950","93,879,930","116,132,930","115,045,350"
Slovak Republic,,US Dollar,,"2,132,000","2,709,000","2,639,250","4,130,370","2,520,040","2,531,910","3,190,510","4,269,300","4,170,000","4,434,380","4,201,040","5,576,670","6,909,920","6,478,840","8,052,920"
Slovenia,,US Dollar,,"3,555,030","4,206,110","4,056,530","5,122,050","4,292,210","2,873,720","4,688,330","3,987,960","4,777,280","4,825,280","4,850,110","5,716,790","5,321,630","7,536,480","7,246,310"
Spain,,US Dollar,i,"308,498,500","355,342,920","392,018,280","557,240,160","521,017,400","520,699,370","571,852,840","493,640,000","510,439,240","562,475,370","508,962,240","562,172,000","584,614,160","598,691,300","712,149,280"
Sweden,,US Dollar,,"20,923,410","27,877,090","21,415,680","34,284,050","23,343,980","41,128,630","59,105,540","58,664,820","64,077,360","62,275,380","46,067,780","56,751,220","60,736,300","58,159,210","42,004,160"
Switzerland,,US Dollar,i,"11,598,000","11,598,000","11,630,000","12,548,000","13,838,000","14,680,000","17,130,000","17,255,000","18,510,000","18,510,000","18,510,000","30,540,000","30,540,000","32,990,000","36,180,200"
Turkey,,US Dollar,i,"519,887,290","555,171,330","613,942,310","649,636,030","615,737,910","707,981,090","759,911,330","900,530,620","903,303,680","970,093,780","922,649,160","1,027,124,300","1,068,685,240","1,125,221,040","1,333,529,440"
United Kingdom,,US Dollar,i,"619,339,740","768,725,440","934,161,270","967,102,940","780,730,390","799,731,830","1,055,070,080","943,951,930","1,190,517,020","1,316,652,050","1,107,151,470","1,131,667,560","1,454,362,560","1,271,276,120","1,464,552,330"
United States,,US Dollar,i,"896,336,190","1,001,601,250","957,232,160","983,582,680","958,881,720","1,023,272,110","1,104,836,630","1,007,282,200","1,176,006,720","1,108,087,410","1,149,688,250","1,243,032,230","1,212,501,160","1,319,789,670","1,274,580,410"
  Argentina,,US Dollar,,"11,461,500","16,729,600","16,741,900","12,475,600","10,826,700","15,480,030","16,406,480","17,992,890","28,370,920","27,871,440","33,613,380","22,958,350","24,539,030","21,708,730","13,353,360"
  Brazil,,US Dollar,i,"444,619,800","468,848,070","594,824,880","850,878,600","1,012,644,680","1,307,578,880","1,543,337,050","1,451,745,570","1,328,749,140","1,544,965,700","1,228,320,230","1,132,382,600","1,299,117,550","1,230,781,180","1,196,892,550"
  China (People's Republic of),,US Dollar,i,"34,413,267,850","38,327,778,410","50,404,734,870","62,065,848,790","67,452,676,290","76,565,452,950","91,803,227,830","105,101,852,330","119,426,955,440","131,669,153,910","134,347,170,230","143,522,238,310","149,025,160,650","154,588,568,990","161,172,745,430"
  India,,US Dollar,i,"3,763,279,050","4,183,946,440","4,983,651,150","6,075,708,400","5,492,947,700","7,072,876,830","7,582,398,390","8,857,516,960","10,126,861,250","10,637,326,520","10,375,688,840","10,538,061,010","12,450,156,670","13,524,165,130","14,515,057,780"
  Indonesia,,US Dollar,i,"2,329,032,080","2,667,752,530","2,862,885,690","3,124,626,420","4,025,739,540","6,190,614,860","7,481,822,440","8,068,890,010","10,683,267,270","10,560,749,790","8,761,024,010","11,018,976,920","13,436,666,890","13,542,888,370","14,573,661,590"
  Malaysia,,US Dollar,i,"340,750,040","342,162,450","373,686,110","571,613,800","684,556,200","855,724,200","779,561,410","886,757,060","708,051,670","1,023,095,110","845,336,360","696,747,870","760,110,180","816,177,870","1,537,794,870"
  Peru,,US Dollar,,"158,440,390","174,768,360","271,845,470","298,046,580","290,343,220","662,598,150","671,623,430","471,815,720","878,209,170","778,259,630","440,590,310","479,342,000","404,520,350","416,885,080","492,526,160"
  Philippines,,US Dollar,i,"903,380,490","1,155,467,180","1,371,049,100","1,867,180,600","1,686,860,510","1,818,789,630","1,985,615,730","2,185,620,280","2,208,289,200","2,135,580,160","2,051,618,490","1,919,121,620","1,998,499,510","2,094,538,140","2,274,835,200"
  Russia,,US Dollar,i,"321,644,000","311,640,600","326,117,500","364,590,100","375,071,700","397,524,900","436,034,200","490,328,400","548,962,200","571,025,800","534,836,200","597,260,200","634,297,200","792,203,200","971,906,400"
  Chinese Taipei,,US Dollar,i,"969,563,300","880,540,220","999,808,990","1,070,001,220","915,295,260","1,119,281,420","1,373,563,860","1,238,582,940","1,339,930,650","1,378,249,170","1,204,901,370","1,019,840,140","1,164,498,830","1,190,068,900","1,174,772,750"
  Thailand,,US Dollar,i,"1,740,627,490","1,995,811,520","2,138,578,750","2,345,592,100","2,622,727,970","2,812,976,170","3,360,947,290","3,483,305,440","2,956,707,150","2,556,361,260","2,321,782,040","2,488,941,140","2,705,434,720","3,017,599,470","3,199,158,160"
  Vietnam,,US Dollar,i,"2,933,014,750","3,318,579,780","4,030,471,510","4,608,572,650","4,805,522,400","5,982,617,570","6,129,872,000","6,354,840,920","6,791,377,840","7,903,733,360","8,888,361,240","9,141,689,800","9,716,948,060","11,170,634,070","12,043,766,320"
